gene_name	Lin_F_WT_1	Lin_F_WT_2	Lin_F_KO_1	Lin_F_KO_2
Xkr4	0	0	0	0
Rp1	0	9	0	0
Sox17	0	4	0	0
Mrpl15	1570	1157	1211	1355
Lypla1	1739	1472	1617	1698
Tcea1	1447	1013	1342	1363
Rgs20	11	5	0	0
Atp6v1h	965	594	911	830
Oprk1	0	6	0	0
Npbwr1	0	0	0	0
Rb1cc1	3120	3228	2396	3323
Fam150a	0	0	0	18
St18	19	23	17	27
Pcmtd1	1225	1222	720	1173
Sntg1	0	0	0	0
Rrs1	1756	1003	1474	1325
Adhfe1	36	15	29	0
2610203C22Rik	10	8	0	0
3110035E14Rik	0	12	0	0
Mybl1	112	147	68	282
Vcpip1	4103	3962	3390	4456
1700034P13Rik	0	0	25	0
Sgk3	1660	1370	1622	1533
Mcmdc2	41	30	16	6
Snhg6	231	35	82	92
Snord87	6	0	0	0
Tcf24	7	21	0	9
Ppp1r42	93	80	65	40
Cops5	859	559	909	787
Cspp1	1386	1037	735	1205
Arfgef1	7489	7126	6774	7217
Cpa6	253	333	171	176
Mir467e	0	0	0	0
Prex2	34	59	0	75
A830018L16Rik	0	0	0	0
Mir6341	0	0	0	0
Gm17644	0	0	0	0
Sulf1	0	20	1	0
Slco5a1	28	15	48	16
Prdm14	6	0	0	0
Ncoa2	6104	5779	5330	5672
Tram1	7361	6367	6475	7115
Lactb2	939	791	968	906
Xkr9	0	0	0	0
Gm5523	5	8	4	7
Eya1	280	239	365	228
Msc	0	0	0	0
Trpa1	0	13	10	20
Kcnb2	0	0	0	0
Terf1	834	530	572	710
Sbspon	9	28	32	22
4930444P10Rik	4	9	0	0
Rpl7	3355	2142	2391	2848
Rdh10	112	274	299	252
Stau2	73	98	175	179
Ube2w	762	711	624	779
Tceb1	789	473	641	836
D030040B21Rik	0	0	0	7
Tmem70	753	531	457	706
Ly96	177	164	193	161
Jph1	11	1	33	17
Gdap1	8	0	0	0
Pi15	19	12	33	0
Gm16070	0	0	0	9
Crispld1	73	34	29	41
Crisp4	0	8	0	0
Defb44-ps	0	0	0	0
Defb18	0	0	0	0
Defb41	0	0	0	0
Gm15386	0	0	0	0
Tfap2d	0	0	0	0
Tfap2b	0	0	0	0
Pkhd1	0	0	0	0
4930486I03Rik	0	0	0	0
Linc-md1	0	0	0	0
Mir206	0	0	0	0
Mir133b	0	0	0	0
Il17a	0	0	0	0
Il17f	0	0	0	11
Mcm3	7251	4758	6011	6729
6720483E21Rik	0	0	0	15
Paqr8	325	138	98	195
Efhc1	52	13	26	81
Tram2	296	535	513	305
Tmem14a	29	32	9	21
Gsta3	10	0	0	19
Gm4956	0	13	0	0
Khdc1a	0	0	0	0
Khdc1c	0	0	0	0
Khdc1b	9	0	0	0
