	WT_1	WT_2	XistKO_1	XistKO_2
Zc3h14	19513	20017	26351	23807
Troap	38	20	22	10
Clca2	2	5	5	8
1810013L24Rik	6911	7216	8943	9038
Srsf7	29457	31419	33622	28763
Fignl2	18	25	10	9
Sema6a	20	15	1	0
Anapc15	161	123	159	72
Misp3	1	9	1	1
Nmb	5	7	4	6
Tcerg1	15142	17434	20184	18725
Zfp712	304	330	403	398
Fam129c	21	33	50	47
Atp5g3	7425	6585	12358	8721
Pifo	0	0	0	0
Olfr1045	0	0	0	0
Olfr1049	0	0	0	0
Vsx1	0	0	0	0
Fyco1	513	470	581	456
Tlr3	357	320	253	203
Olfr1444	0	0	0	0
Olfr150	0	0	0	0
Ifi44	33	39	61	94
Trafd1	41	31	51	16
Erfl	0	0	0	0
Krt80	9	13	4	8
Armc8	4033	4199	2897	2709
Ppil4	9595	9558	11734	10903
C530005A16Rik	14	8	15	8
Katnbl1	10262	11172	19430	18988
Gm21693	0	0	0	0
Spag9	18550	18740	22081	20433
Gm5860	0	0	0	1
Taz	187	149	188	109
Gfpt1	8996	9669	10678	10093
Abcc5	645	581	777	524
Kcnmb4	2	4	1	0
Gm4013	8	10	12	10
Hpcal1	83	64	113	69
Tbc1d31	1241	1057	1260	1008
Tmem176b	47	29	2	0
Mir5110	0	0	0	0
Mir5108	0	0	0	0
Cyp3a13	45	34	54	33
Akap7	1027	989	850	798
Ablim1	526	514	121	83
Lcn5	0	0	0	0
Ulk1	50	40	55	29
Cyp4b1	0	0	0	0
Golga3	3608	3529	3656	3259
Mir1193	5	0	0	0
Wdyhv1	218	186	327	235
Traf1	0	0	2	0
Atoh1	0	0	0	0
Rxra	114	93	120	65
Dapk3	3	2	3	4
Mir7002	1	0	1	0
Mir6998	0	0	0	0
Ap3m2	50	48	60	34
Sirt2	67	60	101	28
Inhbc	0	0	0	0
Slit3	125	165	297	319
Cts3	0	0	0	0
Olfr74	0	0	0	0
Dcakd	12	9	17	7
Vps35l	220	142	221	122
Cyhr1	172	152	184	88
Taf10	38	24	61	16
Hagh	31	36	68	21
Ogfod3	12	11	18	8
Syn1	0	1	7	8
Glyatl3	1	0	1	4
Slx	0	0	0	0
Ccl27a	33	26	30	15
Sqor	44	22	74	41
Fundc2	7555	7308	8852	8305
Rab5if	1860	1652	3126	1736
H1f5	497	189	434	191
