	A567T11	A567T12	A567T15	A567T16
DDX11L1	0	3	1	2
WASH7P	595	696	537	412
MIR1302-11	0	0	0	0
FAM138A	0	0	0	0
OR4G4P	0	0	0	0
OR4G11P	0	0	0	0
OR4F5	0	0	0	0
RP11-34P13.7	2	6	1	1
RP11-34P13.8	0	0	0	0
CICP27	0	0	1	1
AL627309.1	308	195	394	248
RP11-34P13.15	0	1	8	1
RP11-34P13.16	0	0	0	0
RP11-34P13.14	0	0	2	2
RP11-34P13.13	22	11	25	41
RNU6-1100P	0	0	0	0
RP11-34P13.9	3	0	2	2
AP006222.2	28	15	14	21
AP006222.1	0	0	0	0
RP4-669L17.10	9	8	4	13
RP4-669L17.8	0	0	0	0
CICP7	0	0	0	0
RP4-669L17.4	0	0	0	0
OR4F29	0	0	0	0
WBP1LP7	0	0	0	0
AL732372.1	0	0	0	0
RP4-669L17.2	0	0	0	0
RP5-857K21.15	1	0	0	0
RP4-669L17.1	1	0	0	0
RP5-857K21.1	1	0	1	0
RP5-857K21.2	0	0	0	0
RP5-857K21.3	0	0	0	0
RP5-857K21.4	0	0	0	3
RP5-857K21.5	0	0	0	1
MTND1P23	198	229	7	6
MTND2P28	71	73	60	84
hsa-mir-6723	6135	7833	3104	2744
RP5-857K21.7	21	32	34	40
MTATP8P1	2	1	0	1
MTATP6P1	195	159	70	42
RP5-857K21.11	491	500	499	405
WBP1LP6	0	0	0	0
OR4F16	0	0	0	0
CICP3	2	2	4	8
RP11-206L10.1	164	123	154	118
RP11-206L10.3	13	3	6	31
RNU6-1199P	0	0	0	0
RP11-206L10.5	5	1	2	12
RP11-206L10.4	0	0	0	0
RP11-206L10.2	53	34	44	109
RP11-206L10.9	92	54	58	98
RP11-206L10.8	9	6	17	20
AL669831.1	2	0	2	2
RP11-206L10.10	1	0	1	0
FAM87B	8	9	10	10
LINC00115	92	75	71	46
RP11-206L10.11	748	767	695	689
FAM41C	0	0	1	0
TUBB8P11	0	0	0	1
AL645608.2	0	0	0	0
RP11-54O7.16	4	2	3	6
RP11-54O7.1	2	1	2	17
RP11-54O7.2	0	0	0	0
RP11-54O7.3	5	9	3	57
SAMD11	97	62	155	227
AL645608.1	0	0	0	4
NOC2L	17465	17972	12572	8829
KLHL17	2093	1633	1372	1101
PLEKHN1	1064	899	1001	661
C1orf170	219	229	247	181
RP11-54O7.17	96	65	23	64
HES4	1000	393	146	135
RP11-54O7.10	6	1	2	2
RP11-54O7.11	4	3	2	2
ISG15	1482	1572	1952	994
AGRN	38735	28973	38177	25665
RP11-54O7.14	0	0	0	0
RP11-465B22.3	475	379	420	442
RP11-54O7.18	87	56	50	102
RNF223	225	165	61	47
C1orf159	1781	1613	1356	987
RP11-465B22.5	0	0	0	0
MIR200B	6	2	4	0
MIR200A	5	1	1	2
MIR429	7	5	9	2
RP11-465B22.8	115	91	72	10
TTLL10-AS1	0	1	0	0
TTLL10	1	0	1	1
TNFRSF18	0	0	0	2
TNFRSF4	1	1	0	2
SDF4	9198	8421	8602	7115
B3GALT6	1439	1297	1380	1000
FAM132A	36	29	29	41
RP5-902P8.12	30	17	34	37
UBE2J2	5276	5201	4012	2954
RP5-902P8.10	22	20	15	35
SCNN1D	108	81	70	149
ACAP3	2848	2069	2185	2460
PUSL1	1998	1696	1224	767
CPSF3L	8857	9300	7983	6075
RP5-890O3.9	209	169	183	195
GLTPD1	2402	2150	1906	1201
TAS1R3	33	32	30	52
DVL1	9690	8706	7632	5682
MXRA8	547	325	474	627
AURKAIP1	9281	9049	6544	3809
RP5-890O3.3	3	0	1	0
CCNL2	8959	8158	8846	10734
RP4-758J18.2	1485	1471	1365	1060
MRPL20	6367	7474	5565	3535
RN7SL657P	0	0	0	0
RP4-758J18.13	196	198	191	67
ANKRD65	742	673	410	282
RP4-758J18.7	49	47	29	23
TMEM88B	0	1	1	1
RP4-758J18.10	5	8	4	13
VWA1	3361	2788	2856	1652
ATAD3C	112	115	87	76
ATAD3B	7126	6603	5182	2955
ATAD3A	6499	6279	4613	2702
TMEM240	20	8	10	10
SSU72	8499	9568	8860	6059
AL645728.2	0	0	0	0
AL645728.1	16	14	20	18
AL645728.3	0	0	0	0
C1orf233	31	40	5	23
RP11-345P4.9	147	153	149	136
MIB2	959	635	652	639
MMP23B	2	0	0	0
CDK11B	3065	3004	2505	2089
RP11-345P4.10	4	2	5	1
SLC35E2B	1530	1236	1557	2051
RP11-345P4.7	38	16	40	65
RP11-345P4.6	5	9	9	25
MMP23A	0	0	0	0
CDK11A	214	223	191	194
RP1-283E3.8	127	113	146	183
RP1-283E3.4	216	180	243	299
SLC35E2	71	55	68	98
NADK	5363	4830	4267	3760
GNB1	29875	29115	33553	33082
RP1-140A9.1	21	22	27	14
CALML6	10	9	8	8
TMEM52	139	120	40	35
C1orf222	36	24	12	27
RP11-547D24.1	6	3	5	3
GABRD	0	1	1	0
RP11-547D24.3	5	0	3	0
PRKCZ	1050	1031	942	743
RP5-892K4.1	5	0	3	1
RP11-181G12.2	206	179	183	140
C1orf86	1786	1462	1434	969
AL590822.2	0	0	0	0
AL590822.1	0	3	3	9
RP11-181G12.5	0	0	0	0
RP11-181G12.4	0	0	0	2
SKI	4821	3755	5094	4912
MORN1	169	119	136	172
RP4-713A8.1	1	0	0	0
AL589739.1	2	0	0	0
RP4-740C4.6	35	23	22	44
RP4-740C4.5	0	0	0	0
RP4-740C4.7	14	19	18	7
RP4-740C4.9	8	4	6	8
RP4-740C4.8	9	13	11	11
AL513477.1	0	0	0	0
RER1	8954	8368	8553	6874
PEX10	1276	1122	1089	833
PLCH2	735	576	1124	1192
RP3-395M20.2	9	1	6	10
RP3-395M20.3	8	4	14	10
PANK4	2245	2159	2082	1736
