gene_name	LK_F_WT_1	LK_F_WT_2	LK_F_KO_1	LK_F_KO_2
Xkr4	0	0	0	0
Rp1	6	0	5	1
Sox17	0	0	18	0
Mrpl15	9411	11027	9834	13493
Lypla1	10301	14063	11518	11578
Tcea1	2568	2859	2386	3418
Rgs20	1	0	0	3
Atp6v1h	7400	7616	8619	8979
Oprk1	0	0	0	0
Npbwr1	0	0	0	0
Rb1cc1	5588	4111	5757	6053
Fam150a	0	0	0	0
St18	3	1	4	12
Pcmtd1	2237	1775	1925	2508
Sntg1	0	0	0	0
Rrs1	11699	9391	13518	16115
Adhfe1	27	15	75	35
2610203C22Rik	9	1	11	0
3110035E14Rik	0	0	3	0
Mybl1	148	65	69	89
Vcpip1	6477	5217	7072	6736
1700034P13Rik	25	58	38	32
Sgk3	8973	8854	10551	8836
Mcmdc2	7	4	1	3
Snhg6	907	691	823	1399
Snord87	16	0	15	30
Tcf24	0	0	10	0
Ppp1r42	18	6	7	5
Cops5	8348	10278	9027	12918
Cspp1	2776	1062	2434	2326
Arfgef1	8143	5233	8204	8314
Cpa6	17	0	20	6
Mir467e	0	0	0	0
Prex2	3	1	1	0
A830018L16Rik	0	0	0	0
Mir6341	0	0	0	0
Gm17644	0	0	0	0
Sulf1	0	0	0	0
Slco5a1	41	9	29	31
Prdm14	0	0	0	0
Ncoa2	3850	2678	3671	4210
Tram1	39905	53128	48943	43938
Lactb2	1919	1939	2246	2640
Xkr9	0	0	0	17
Gm5523	13	14	14	15
Eya1	510	584	481	684
Msc	0	0	1	0
Trpa1	5	0	9	2
Kcnb2	0	0	0	0
Terf1	3948	3104	4160	4217
Sbspon	16	6	5	6
4930444P10Rik	2	0	0	0
Rpl7	3351	4324	3014	4261
Rdh10	891	897	800	1107
Stau2	681	910	684	855
Ube2w	5215	4641	6066	4994
Tceb1	6939	9298	6995	10534
D030040B21Rik	2	0	2	0
Tmem70	7193	10589	8154	11614
Ly96	208	220	147	248
Jph1	31	23	53	28
Gdap1	25	31	4	14
Pi15	1	0	0	1
Gm16070	3	4	2	4
Crispld1	235	401	79	158
Crisp4	0	0	0	0
Defb44-ps	0	0	0	0
Defb18	0	0	0	0
Defb41	0	0	0	0
Gm15386	0	0	0	0
Tfap2d	0	0	0	0
Tfap2b	0	0	0	0
Pkhd1	0	0	1	0
4930486I03Rik	0	0	0	0
Linc-md1	0	0	0	0
Mir206	0	0	0	0
Mir133b	0	0	0	0
Il17a	0	0	0	0
Il17f	1	4	0	0
Mcm3	55158	57149	68422	72944
6720483E21Rik	3	1	5	7
Paqr8	1027	1058	915	1141
Efhc1	86	88	53	55
Tram2	299	287	284	276
Tmem14a	183	203	208	239
Gsta3	15	10	15	13
Gm4956	0	0	0	0
Khdc1a	0	0	0	0
Khdc1c	0	0	0	0
Khdc1b	0	0	0	0
Kcnq5	874	675	838	650
Rims1	0	0	0	0
4933415F23Rik	0	0	0	0
Mir30a	0	0	0	0
Mir30c-2	0	0	0	0
Ogfrl1	17211	10439	19476	14448
B3gat2	37	25	15	32
Smap1	3832	4229	4050	5955
Sdhaf4	2512	3120	2725	3183
Fam135a	169	152	107	91
Col9a1	0	0	0	0
Col19a1	29	5	14	0
Lmbrd1	2642	2778	2680	3668
Adgrb3	0	0	0	0
Gm20172	0	0	0	0
4931408C20Rik	2	0	35	0
Gm597	0	0	0	0
Mir6342	0	0	0	0
Phf3	4811	2372	4970	6067
Ptp4a1	934	1022	1215	977
Gm13363	0	0	0	0
4931428L18Rik	7	0	0	0
Lgsn	0	0	0	5
Pih1d3	0	0	0	0
Gm4850	0	0	0	0
Khdrbs2	0	0	0	0
Gm9839	0	0	0	0
Gm5415	0	0	0	0
Prim2	6371	7340	6755	8745
1700001G17Rik	126	108	123	90
Rab23	516	584	568	666
Bag2	6238	8218	6908	11018
Zfp451	3664	3434	4217	4028
Gm15455	985	482	1107	1004
Bend6	16	12	4	1
Dst	302	137	178	284
Mir6896	0	0	0	0
Mir5103	3	9	15	11
Ccdc115	6113	4886	7289	7354
Imp4	11267	11820	13970	18522
Ptpn18	5762	6202	5776	6116
Prss39	0	7	1	0
Cfc1	11	9	0	0
Prss40	0	0	0	0
Amer3	0	0	5	0
AA619741	0	0	0	0
Arhgef4	1047	319	854	807
Fam168b	12866	9916	13742	15889
Plekhb2	5528	7183	7253	6597
Hs6st1	5911	6103	5805	10697
Uggt1	17554	11897	23878	15757
Mir6897	1	0	0	0
Neurl3	2276	3778	2459	3035
Arid5a	8835	5142	11201	6858
Kansl3	5740	2699	5702	7012
Mir6898	0	0	0	0
Fer1l5	361	119	365	250
Lman2l	5547	3455	6752	4339
Cnnm4	2104	1805	2348	1755
Cnnm3	8042	6912	8869	8122
Ankrd23	1032	109	953	987
Ankrd39	2294	1960	2216	2828
Sema4c	350	229	234	184
Fam178b	78	68	122	191
Cox5b	2760	2889	2872	3859
Actr1b	9155	8347	10636	12144
4933424G06Rik	0	1	0	0
Zap70	16	30	7	7
Tmem131	5659	2506	4873	5670
Cnga3	0	0	3	0
Inpp4a	958	366	788	743
Coa5	12838	16416	14565	19416
Unc50	6825	7593	7206	8767
Mgat4a	1568	1222	1728	1748
4930594C11Rik	120	144	98	192
2010300C02Rik	44	17	77	35
Tsga10	478	520	443	374
Lipt1	792	1286	785	1459
Mitd1	1977	1821	2180	3319
Mrpl30	4440	6041	5255	7159
Lyg2	0	0	0	0
Lyg1	0	0	0	0
Txndc9	4146	4022	4169	4975
Eif5b	10039	4010	9492	13050
Rev1	5210	2363	4887	5010
Aff3	6184	5788	4464	6890
Lonrf2	53	32	26	7
Chst10	374	598	483	783
Nms	0	0	0	0
Pdcl3	6111	6812	6406	6643
Mir6349	0	0	0	0
Npas2	12	7	0	0
Rpl31	479	485	428	657
Tbc1d8	3183	1686	3677	2960
Cnot11	6739	6988	7116	8612
Snord89	3	0	3	5
Rnf149	5439	5118	4986	5749
Creg2	0	0	0	0
Rfx8	44	48	22	20
Gm3646	0	0	0	0
1700066B17Rik	0	0	0	0
Map4k4	1834	1313	1419	1853
Gm16894	13	18	24	21
Il1r2	98	45	116	88
Il1r1	1379	1429	671	880
Il1rl2	525	340	763	437
Il1rl1	1583	2089	2073	4499
Il18r1	52	15	32	22
Il18rap	737	528	974	520
Slc9a4	0	0	0	0
Slc9a2	46	84	25	74
Mfsd9	509	562	614	709
Tmem182	2	0	3	2
4930448I06Rik	0	0	0	0
Pantr1	0	0	0	0
Pou3f3	0	0	0	10
2900092D14Rik	0	0	0	0
Pantr2	0	0	0	0
Dalir	0	0	0	0
Mrps9	5193	5804	5152	7754
Gpr45	9	22	7	10
Tgfbrap1	2830	1775	3206	3394
AI597479	3188	3097	3411	4873
Fhl2	1762	792	1359	1405
