gene_name	LSK_F_WT_1	LSK_F_WT_2	LSK_F_KO_1	LSK_F_KO_2
Xkr4	0	0	0	0
Rp1	0	0	0	0
Sox17	0	5	0	0
Mrpl15	4082	4906	4057	4030
Lypla1	6293	8076	7959	7180
Tcea1	1652	1760	1643	1580
Rgs20	0	0	0	0
Atp6v1h	5343	6573	6023	5180
Oprk1	0	0	0	0
Npbwr1	0	0	0	0
Rb1cc1	4183	5792	3622	3949
Fam150a	0	0	0	0
St18	19	11	8	0
Pcmtd1	2332	3177	2595	2701
Sntg1	0	0	0	0
Rrs1	5638	4161	6660	4122
Adhfe1	0	11	8	1
2610203C22Rik	6	10	0	0
3110035E14Rik	0	0	0	0
Mybl1	35	59	70	66
Vcpip1	3194	3447	3420	2960
1700034P13Rik	20	27	3	11
Sgk3	5574	8283	8711	9258
Mcmdc2	20	7	21	6
Snhg6	297	358	260	201
Snord87	31	37	34	26
Tcf24	0	4	0	0
Ppp1r42	0	5	0	8
Cops5	4839	5477	5123	4977
Cspp1	1109	1283	1284	1293
Arfgef1	3940	4913	3984	3531
Cpa6	0	0	0	13
Mir467e	0	0	0	0
Prex2	122	120	90	26
A830018L16Rik	0	0	0	0
Mir6341	0	0	0	0
Gm17644	0	0	0	0
Sulf1	0	0	0	0
Slco5a1	28	38	38	8
Prdm14	0	0	0	0
Ncoa2	2456	3179	3182	2898
Tram1	24550	25618	26321	22008
Lactb2	981	1233	956	1063
Xkr9	0	0	0	0
Gm5523	3	10	4	6
Eya1	1800	2864	2341	1231
Msc	0	0	0	0
Trpa1	0	0	0	4
Kcnb2	0	2	0	0
Terf1	2803	2600	2899	2268
Sbspon	57	78	8	6
4930444P10Rik	0	0	0	0
Rpl7	2670	3533	2916	2900
Rdh10	399	659	470	456
Stau2	1229	1226	927	919
Ube2w	2114	2541	2298	2181
Tceb1	2804	3465	2745	2917
D030040B21Rik	13	4	0	0
Tmem70	5902	7140	5412	5725
Ly96	162	320	101	181
Jph1	75	46	10	10
Gdap1	78	61	77	64
Pi15	0	0	0	0
Gm16070	39	34	31	36
Crispld1	1962	2798	1953	2087
Crisp4	0	0	0	0
Defb44-ps	0	0	0	0
Defb18	0	0	0	0
Defb41	0	0	0	0
Gm15386	0	0	0	0
Tfap2d	0	0	0	0
Tfap2b	1	1	0	0
Pkhd1	0	0	0	0
4930486I03Rik	0	0	0	0
Linc-md1	0	0	0	0
Mir206	0	0	0	0
Mir133b	0	0	0	0
Il17a	0	0	0	0
Il17f	0	0	0	0
Mcm3	40732	25974	45374	39316
6720483E21Rik	14	49	15	9
Paqr8	1641	2159	1536	1786
Efhc1	78	112	50	135
Tram2	100	135	127	187
Tmem14a	244	322	236	289
Gsta3	12	18	23	6
Gm4956	0	0	0	0
Khdc1a	0	0	0	0
Khdc1c	0	0	0	0
Khdc1b	0	0	0	0
Kcnq5	296	354	569	486
Rims1	0	0	0	0
4933415F23Rik	0	0	0	0
Mir30a	0	0	0	0
Mir30c-2	0	0	0	0
Ogfrl1	8110	8582	10077	8584
B3gat2	24	55	10	37
Smap1	2207	1972	2115	1762
Sdhaf4	1289	1684	1258	1316
Fam135a	178	225	138	228
Col9a1	3	1	0	0
Col19a1	9	2	64	7
Lmbrd1	2111	3273	2341	2764
Adgrb3	0	0	0	0
Gm20172	0	0	0	0
4931408C20Rik	2	0	15	29
Gm597	0	0	0	0
Mir6342	0	0	0	0
Phf3	2652	3144	2816	2509
Ptp4a1	371	405	579	417
Gm13363	0	0	0	0
4931428L18Rik	4	0	0	3
Lgsn	0	0	0	0
Pih1d3	0	0	0	0
Gm4850	0	0	0	0
Khdrbs2	0	0	0	0
Gm9839	0	0	0	0
Gm5415	0	0	0	0
Prim2	4097	3816	4515	4472
1700001G17Rik	25	121	32	87
Rab23	761	939	650	759
Bag2	3663	3869	3211	2650
Zfp451	3237	3650	3601	3549
Gm15455	667	632	833	626
Bend6	55	91	40	86
Dst	744	1349	775	681
Mir6896	0	0	0	0
Mir5103	0	0	0	0
Ccdc115	3736	2886	3378	2899
Imp4	7194	6202	7298	5569
Ptpn18	5203	6536	4867	4660
Prss39	6	1	0	0
Cfc1	79	68	75	39
Prss40	0	0	0	0
Amer3	10	0	0	0
AA619741	0	0	0	0
Arhgef4	1218	2052	1457	1639
Fam168b	10003	12187	14570	10800
Plekhb2	7201	7829	7217	7184
Hs6st1	4133	5110	4992	4261
Uggt1	5571	5313	8915	7066
Mir6897	0	0	0	0
Neurl3	7340	8680	8111	6420
Arid5a	16864	11890	16745	11998
Kansl3	6522	7861	6900	6143
Mir6898	0	0	0	0
Fer1l5	166	219	178	181
Lman2l	3222	3069	3058	3411
Cnnm4	2214	1667	1710	1723
Cnnm3	5024	6557	5428	5823
Ankrd23	1272	1717	1028	1290
Ankrd39	1725	2310	1734	1736
Sema4c	722	732	628	557
Fam178b	1	0	15	4
Cox5b	696	837	725	662
Actr1b	7561	7086	7758	6650
4933424G06Rik	0	1	0	0
Zap70	27	22	41	60
Tmem131	2464	2734	3148	2737
Cnga3	0	6	0	0
