	A567T09	A567T10	A567T13	A567T14
DDX11L1	1	2	0	0
WASH7P	522	574	618	558
MIR1302-11	0	0	0	0
FAM138A	0	0	0	0
OR4G4P	0	0	0	0
OR4G11P	0	0	0	0
OR4F5	0	0	0	0
RP11-34P13.7	1	1	2	1
RP11-34P13.8	0	0	0	0
CICP27	1	1	0	2
AL627309.1	20	10	14	19
RP11-34P13.15	0	0	0	0
RP11-34P13.16	0	0	0	0
RP11-34P13.14	0	0	0	0
RP11-34P13.13	17	11	6	2
RNU6-1100P	0	0	0	0
RP11-34P13.9	0	0	0	0
AP006222.2	48	64	21	23
AP006222.1	0	0	0	0
RP4-669L17.10	9	6	7	6
RP4-669L17.8	0	0	0	0
CICP7	0	0	0	0
RP4-669L17.4	0	0	0	0
OR4F29	0	0	0	0
WBP1LP7	0	0	0	0
AL732372.1	0	0	0	0
RP4-669L17.2	0	0	0	0
RP5-857K21.15	0	0	0	0
RP4-669L17.1	0	0	0	0
RP5-857K21.1	0	0	0	0
RP5-857K21.2	0	0	0	0
RP5-857K21.3	0	0	0	0
RP5-857K21.4	0	1	1	1
RP5-857K21.5	0	0	0	0
MTND1P23	182	316	219	256
MTND2P28	61	37	73	59
hsa-mir-6723	4288	4701	6719	7865
RP5-857K21.7	16	36	35	32
MTATP8P1	1	1	2	2
MTATP6P1	206	189	231	203
RP5-857K21.11	491	470	616	580
WBP1LP6	0	0	0	0
OR4F16	0	0	0	0
CICP3	4	8	2	1
RP11-206L10.1	184	206	274	296
RP11-206L10.3	34	33	13	13
RNU6-1199P	0	0	0	0
RP11-206L10.5	8	6	3	5
RP11-206L10.4	0	0	0	0
RP11-206L10.2	155	178	87	37
RP11-206L10.9	190	136	73	67
RP11-206L10.8	27	19	22	11
AL669831.1	2	5	0	3
RP11-206L10.10	0	0	0	0
FAM87B	24	25	11	8
LINC00115	77	115	100	113
RP11-206L10.11	584	819	535	472
FAM41C	1	0	0	2
TUBB8P11	0	0	0	0
AL645608.2	0	0	0	0
RP11-54O7.16	30	29	14	20
RP11-54O7.1	123	142	45	40
RP11-54O7.2	1	0	0	0
RP11-54O7.3	481	550	192	191
SAMD11	1163	1207	645	600
AL645608.1	24	44	7	8
NOC2L	9447	12773	11025	10241
KLHL17	1901	3018	1981	1918
PLEKHN1	492	581	412	407
C1orf170	106	127	114	166
RP11-54O7.17	352	245	87	84
HES4	1007	1481	459	559
RP11-54O7.10	8	4	3	7
RP11-54O7.11	15	16	7	8
ISG15	895	879	1105	1252
AGRN	18626	24120	25124	23942
RP11-54O7.14	0	0	0	0
RP11-465B22.3	381	563	387	363
RP11-54O7.18	80	101	79	45
RNF223	5	3	3	3
C1orf159	1459	1721	1843	1862
RP11-465B22.5	0	0	0	0
MIR200B	0	0	0	0
MIR200A	0	0	0	0
MIR429	0	0	0	1
RP11-465B22.8	3	0	1	4
TTLL10-AS1	0	0	0	1
TTLL10	0	0	0	0
TNFRSF18	0	0	7	4
TNFRSF4	7	2	1	3
SDF4	9545	11368	14121	13848
B3GALT6	914	1603	1944	2135
FAM132A	90	87	73	91
RP5-902P8.12	40	39	34	45
UBE2J2	3354	4541	4009	4223
RP5-902P8.10	67	44	60	53
SCNN1D	364	316	301	277
ACAP3	2739	4203	2898	2773
PUSL1	524	896	883	989
CPSF3L	7174	8476	7973	8016
RP5-890O3.9	220	309	168	151
GLTPD1	611	1179	1360	1402
TAS1R3	24	22	48	37
DVL1	4198	5497	4412	4374
MXRA8	472	636	288	285
AURKAIP1	4340	6866	6801	8060
RP5-890O3.3	3	5	2	7
CCNL2	13728	15516	14149	12118
RP4-758J18.2	997	1571	1598	1566
MRPL20	3299	4973	5148	5144
RN7SL657P	0	0	0	0
RP4-758J18.13	76	191	313	307
ANKRD65	54	17	36	50
RP4-758J18.7	6	1	4	5
TMEM88B	0	1	2	1
RP4-758J18.10	10	14	18	15
VWA1	781	812	1708	1886
ATAD3C	16	16	42	37
ATAD3B	2130	4203	3469	3460
ATAD3A	2667	4082	3951	4214
TMEM240	4	15	13	13
SSU72	5087	6643	8457	8649
AL645728.2	0	0	0	0
AL645728.1	36	19	18	19
AL645728.3	0	0	0	0
C1orf233	41	36	195	202
RP11-345P4.9	241	196	251	259
MIB2	1156	1585	1205	1332
MMP23B	0	1	2	0
CDK11B	2498	2919	2942	2849
RP11-345P4.10	4	3	2	2
SLC35E2B	2811	3171	2265	1794
RP11-345P4.7	125	93	51	37
RP11-345P4.6	55	39	9	9
MMP23A	2	3	1	0
CDK11A	323	309	271	270
RP1-283E3.8	266	286	249	205
RP1-283E3.4	392	575	380	280
SLC35E2	135	173	108	94
NADK	4171	5251	5090	4565
GNB1	29566	34995	27601	23725
RP1-140A9.1	16	26	32	39
CALML6	5	9	14	18
TMEM52	49	47	80	83
C1orf222	17	8	18	9
RP11-547D24.1	0	1	1	0
GABRD	4	4	3	2
RP11-547D24.3	0	0	2	1
PRKCZ	408	336	559	496
RP5-892K4.1	7	2	0	0
RP11-181G12.2	94	76	135	131
C1orf86	1332	1839	1882	2171
AL590822.2	0	0	0	0
AL590822.1	10	8	15	8
RP11-181G12.5	0	0	0	0
RP11-181G12.4	1	1	0	0
SKI	5028	6228	4993	4082
MORN1	272	255	185	220
RP4-713A8.1	1	3	4	0
AL589739.1	1	8	1	1
RP4-740C4.6	53	59	82	60
RP4-740C4.5	0	0	0	0
RP4-740C4.7	26	23	49	38
RP4-740C4.9	8	9	26	16
RP4-740C4.8	4	18	32	20
AL513477.1	0	0	0	0
RER1	7261	10034	9191	8846
PEX10	590	814	760	755
PLCH2	210	79	122	102
RP3-395M20.2	1	1	1	0
RP3-395M20.3	0	1	0	2
PANK4	1921	2270	2100	1856
HES5	0	0	0	1
RP3-395M20.12	23	22	29	37
RP3-395M20.8	22	16	16	14
TNFRSF14	808	758	984	876
RP3-395M20.7	1	1	0	1
RP3-395M20.9	1	2	6	1
FAM213B	1420	2103	2045	1853
MMEL1	8	8	5	4
RP13-436F16.1	0	0	0	0
TTC34	51	43	48	42
RP11-740P5.2	0	0	0	0
RP11-740P5.3	0	0	1	0
ACTRT2	0	0	0	0
LINC00982	0	0	0	0
AL008733.1	0	0	0	0
PRDM16	3	1	1	0
RP1-163G9.2	0	0	0	0
RP11-22L13.1	8	9	0	0
ARHGEF16	480	261	701	684
RP11-168F9.2	1	1	0	1
MEGF6	397	316	282	213
MIR551A	0	0	0	0
RP11-46F15.2	17	37	27	53
TPRG1L	1131	1591	1510	1461
WRAP73	1948	2233	1984	1683
TP73	244	266	964	847
RP5-1092A11.5	6	4	15	11
RP5-1092A11.2	0	1	7	1
TP73-AS1	2962	3313	2491	2058
CCDC27	6	2	2	1
SMIM1	31	32	29	38
LRRC47	2803	3462	3732	3555
RN7SL574P	2	6	6	6
RP1-286D6.5	79	69	77	55
CEP104	2138	2634	2486	2250
DFFB	693	814	677	618
AL691523.1	0	0	0	0
C1orf174	2019	2626	2540	2146
RP13-15E13.1	23	41	55	45
RP13-614K11.1	1	0	0	0
