gene_name	Chromosome	seqnames	Cell Type	LSK+ WT rep1 (FPKM)	LSK+ XistΔ/Δ rep1 (FPK	LSK+ WT rep2 (FPKM)	LSK+ XistΔ/Δ rep2 (FPK	FoldChange_1	FoldChange_2	FoldChange
5430427O19Rik	chrX	chrX	LSK+	8.719108361	17.57876697	10.9648707	20.44390933	2.016119796	1.864491601	1.940305699
Tmem164	chrX	chrX	LSK+	23.9458314	47.92456546	24.93789819	40.12910814	2.001374045	1.6091616	1.805267822
Tmem29	chrX	chrX	LSK+	7.062102078	7.431548984	7.745638291	9.26862506	1.052314014	1.196625083	1.124469548
1810030O07Rik	chrX	chrX	LSK+	44.80957174	84.34305004	42.92874076	91.23771969	1.882255214	2.125329513	2.003792363
Ftx	chrX	chrX	LSK+	2.135639547	4.454227321	2.593343631	4.61072519	2.085664374	1.777907538	1.931785956
Pbdc1	chrX	chrX	LSK+	21.60782054	25.61070382	14.74771043	25.18151068	1.185251598	1.707486108	1.446368853
Ddx3x	chrX	chrX	LSK+	33.58859634	56.15706512	31.08338811	49.24904288	1.671908661	1.584416818	1.628162739
Kdm6a	chrX	chrX	LSK+	17.0867323	22.65014394	19.36304992	21.89123591	1.325598338	1.13056755	1.228082944
Utp14a	chrX	chrX	LSK+	16.60452824	23.2079553	10.54180722	22.70748246	1.397688327	2.154040762	1.775864545
Eif2s3x	chrX	chrX	LSK+	0.960103477	2.0946863	1.033227164	1.67313043	2.18172973	1.619324857	1.900527294
Kdm5c	chrX	chrX	LSK+	10.23580487	19.8143575	10.27739757	17.59242717	1.935788905	1.71175894	1.823773922
Med14	chrX	chrX	LSK+	6.174616821	13.04074159	7.657334804	11.31041565	2.111992043	1.477069495	1.794530769
Rbm10	chrX	chrX	LSK+	15.74129298	16.2077801	12.96341602	15.75179052	1.029634613	1.215095658	1.122365135
Cdk16	chrX	chrX	LSK+	61.13416281	65.68121441	58.74008515	58.98134337	1.074378243	1.004107216	1.039242729
Ocrl	chrX	chrX	LSK+	10.51361587	14.4666274	12.03982808	12.52198093	1.375989724	1.04004649	1.208018107
Sash3	chrX	chrX	LSK+	161.4440217	235.2352084	168.4296229	256.6672799	1.4570698	1.52388443	1.490477115
Zdhhc9	chrX	chrX	LSK+	17.82314296	24.60701776	17.53553815	27.85883924	1.38062169	1.588707401	1.484664546
Aifm1	chrX	chrX	LSK+	56.71103593	62.1570312	40.43330305	58.3428081	1.096030608	1.442939451	1.269485029
Pcyt1b	chrX	chrX	LSK+	1.757579652	2.171663193	1.938214812	2.549671669	1.235598734	1.315474246	1.27553649
F630028O10Rik	chrX	chrX	LSK+	1.860222095	5.077386865	2.858954818	5.59868884	2.729451972	1.958299167	2.34387557
Nono	chrX	chrX	LSK+	98.71769764	100.3586497	71.90348407	94.21744189	1.016622673	1.310332081	1.163477377
Ercc6l	chrX	chrX	LSK+	10.67428072	15.74315107	7.916321704	14.12823062	1.474867626	1.784696372	1.629781999
Magt1	chrX	chrX	LSK+	24.95855604	29.83477757	19.89105065	25.84761921	1.195372742	1.299459725	1.247416233
Btk	chrX	chrX	LSK+	58.21962714	77.6677094	61.60520166	66.78946958	1.334046836	1.084153087	1.209099962
Acsl4	chrX	chrX	LSK+	6.624909572	9.889575267	7.807714134	8.917754144	1.492786454	1.142172215	1.317479334
Iqsec2	chrX	chrX	LSK+	1.204586841	2.52449016	1.742320968	3.511388764	2.095731146	2.015351263	2.055541205
Rps6ka3	chrX	chrX	LSK+	4.414824272	6.595674878	5.617396374	7.524734141	1.493983559	1.339541246	1.416762403
Ofd1	chrX	chrX	LSK+	6.061193786	6.770534304	6.031141631	7.412610307	1.117029837	1.229055917	1.173042877
Arhgap6	chrX	chrX	LSK+	13.18196033	14.70210253	12.32488863	19.9783392	1.115319889	1.620975231	1.36814756
