Column1	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	seqnames	start	end	width	strand	source	type	score	phase	gene_id	transcript_id	exon_number	exon_id
1	DDX11L1	5.710125469	-0.836754548	1.149608154	-0.727860658	0.466698888	0.685787051	chr1	11874	14409	2536	+	refGene	transcript	NA	NA	DDX11L1	NR_046018	NA	NA
2	WASH7P	1982.429541	0.135648512	0.130859325	1.036597983	0.299923254	0.52911805	chr1	14362	29370	15009	-	refGene	transcript	NA	NA	WASH7P	NR_024540	NA	NA
3	LOC729737	262.6888655	0.243310799	0.33189127	0.733103943	0.463495035	0.682840795	chr1	134773	140566	5794	-	refGene	transcript	NA	NA	LOC729737	NR_039983	NA	NA
4	LOC102725121	5.848517264	0.136188495	1.087415488	0.125240533	0.900333129	0.955261635	chr1	182388	184878	2491	+	refGene	transcript	NA	NA	LOC102725121	NR_148357	NA	NA
5	TGIF1	1817.92141	-0.277186249	0.170810782	-1.622767876	0.104639035	0.266871452	chr18	3449707	3459978	10272	+	refGene	transcript	NA	NA	TGIF1	NM_173208	NA	NA
6	PRDX6	6268.605437	0.015143907	0.167957616	0.09016505	0.928156058	0.96892383	chr1	173477335	173488815	11481	+	refGene	transcript	NA	NA	PRDX6	NM_004905	NA	NA
7	LOC101928626	3.491853112	0.085449035	1.015582784	0.084137932	0.932946766	0.971314321	chr1	627380	629009	1630	-	refGene	transcript	NA	NA	LOC101928626	NR_125957	NA	NA
8	CIC	1300.316782	0.57348863	0.257352094	2.228420298	0.025852501	0.096395397	chr19	42284665	42295796	11132	+	refGene	transcript	NA	NA	CIC	NM_015125	NA	NA
9	LOC100133331	230.6816312	0.228613284	0.331587084	0.689451715	0.490539049	0.705382085	chr1	725759	730351	4593	-	refGene	transcript	NA	NA	LOC100133331	NR_028327	NA	NA
10	LOC100288069	214.2899258	-0.004040399	0.297523161	-0.013580115	0.989164969	0.997109291	chr1	764865	778688	13824	-	refGene	transcript	NA	NA	LOC100288069	NR_033908	NA	NA
11	FAM87B	31.08168366	-0.211663447	0.354461997	-0.59714003	0.550413894	0.750576794	chr1	817371	819834	2464	+	refGene	transcript	NA	NA	FAM87B	NR_103536	NA	NA
12	LINC00115	71.87360402	-0.463908742	0.222489317	-2.085083223	0.037061747	0.126654575	chr1	826206	827522	1317	-	refGene	transcript	NA	NA	LINC00115	NR_024321	NA	NA
13	LINC01128	462.168862	0.137434993	0.175085594	0.784958888	0.432477674	0.65430006	chr1	827591	843604	16014	+	refGene	transcript	NA	NA	LINC01128	NR_047526	NA	NA
14	FAM41C	11.94842591	0.021524484	0.591268828	0.036403888	0.970960314	0.990453361	chr1	868071	876802	8732	-	refGene	transcript	NA	NA	FAM41C	NR_027055	NA	NA
15	LINC02593	89.3523736	1.034350875	0.310431916	3.331973358	0.000862325	0.005883173	chr1	916818	919692	2875	-	refGene	transcript	NA	NA	LINC02593	NR_026874	NA	NA
16	PLEC	8010.474935	0.448486021	0.196716232	2.279862809	0.022615826	0.087180448	chr8	143915153	143944770	29618	-	refGene	transcript	NA	NA	PLEC	NM_201381	NA	NA
17	PLEKHN1	267.8747809	0.177913499	0.306442152	0.580577762	0.561525063	0.757783578	chr1	966482	975865	9384	+	refGene	transcript	NA	NA	PLEKHN1	NM_001160184	NA	NA
18	MPP2	1569.747875	0.492433056	0.605586029	0.813151283	0.416131327	0.641264398	chr17	43875359	43907942	32584	-	refGene	transcript	NA	NA	MPP2	NM_001278381	NA	NA
19	RBM19	1114.968341	0.029037391	0.138605288	0.20949699	0.834060285	0.921916725	chr12	113816740	113966325	149586	-	refGene	transcript	NA	NA	RBM19	NM_001146699	NA	NA
20	CCDC120	133.7676725	0.44439584	0.250495473	1.77406735	0.076052011	0.214117456	chrX	49058966	49069858	10893	+	refGene	transcript	NA	NA	CCDC120	NM_033626	NA	NA
21	INO80D	1134.392756	-0.576055397	0.25821001	-2.230956879	0.025683986	0.095853609	chr2	205993721	206086174	92454	-	refGene	transcript	NA	NA	INO80D	NM_017759	NA	NA
22	CCDC34	482.5015385	-0.082308445	0.182209457	-0.451724333	0.651467586	0.820318767	chr11	27348872	27363248	14377	-	refGene	transcript	NA	NA	CCDC34	NM_080654	NA	NA
23	C12orf43	348.8559732	0.062783837	0.21859992	0.287208873	0.773952393	0.893241532	chr12	121000486	121016487	16002	-	refGene	transcript	NA	NA	C12orf43	NM_022895	NA	NA
24	LOC100288175	69.1379401	0.665506203	0.285759237	2.328905301	0.019864083	0.079192849	chr1	1059734	1066453	6720	+	refGene	transcript	NA	NA	LOC100288175	NR_148960	NA	NA
25	LILRB5	6.342946666	3.182477801	1.315257064	2.419662201	0.015534931	0.065178051	chr19	54250420	54257273	6854	-	refGene	transcript	NA	NA	LILRB5	NM_001304457	NA	NA
26	RAD17	1129.680831	-0.132129375	0.148937616	-0.887145764	0.375000428	0.602864207	chr5	69371454	69414801	43348	+	refGene	transcript	NA	NA	RAD17	NM_133339	NA	NA
27	SH2D3C	14.64753197	0.458214168	0.72734667	0.62998043	0.528707388	0.73471064	chr9	127738317	127778666	40350	-	refGene	transcript	NA	NA	SH2D3C	NM_170600	NA	NA
28	ZNF41	743.9485729	0.078992107	0.16511988	0.478392467	0.632370894	0.807640869	chrX	47445178	47482946	37769	-	refGene	transcript	NA	NA	ZNF41	NM_007130	NA	NA
29	VIL1	6.122614179	0.656490932	0.691486521	0.949390787	0.342421894	0.573120362	chr2	218419123	218453295	34173	+	refGene	transcript	NA	NA	VIL1	NM_007127	NA	NA
30	MDK	26.45041129	0.616245324	0.541891856	1.137210898	0.255450132	0.47960051	chr11	46381669	46383825	2157	+	refGene	transcript	NA	NA	MDK	NM_002391	NA	NA
31	SLC25A1	1797.34059	0.255069829	0.118426506	2.153823813	0.031253991	0.111405574	chr22	19175581	19178505	2925	-	refGene	transcript	NA	NA	SLC25A1	NM_001287387	NA	NA
32	DUSP9	517.1004901	0.216479098	0.166350977	1.301339506	0.19314227	0.401349103	chrX	153647203	153651326	4124	+	refGene	transcript	NA	NA	DUSP9	NM_001318503	NA	NA
33	UQCC3	300.350782	-0.20036962	0.196020003	-1.02218966	0.306691144	0.535679847	chr11	62671673	62673686	2014	+	refGene	transcript	NA	NA	UQCC3	NM_001085372	NA	NA
