gene_name	Chromosome	seqnames	Cell Type	Lin- WT rep1 (FPKM)	Lin- XistΔ/Δ rep1 (FPK	Lin- WT rep2 (FPKM)	Lin- XistΔ/Δ rep2 (FPK	FoldChange_1	FoldChange_2	FoldChange
5430427O19Rik	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	2.657436061	7.056346313	2.640387093	4.529593581	2.655321201	1.715503607	2.185412404
Tmem164	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	17.98658502	23.57235142	16.88648042	26.89648575	1.310551803	1.592782219	1.451667011
Tmem29	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	1.828638021	2.37149439	2.267583345	5.152779428	1.296863766	2.272366058	1.784614912
1810030O07Rik	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	24.1403444	51.7977521	27.25299962	37.83166207	2.145692341	1.388165068	1.766928704
Ftx	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	3.567814198	3.599849008	4.967316486	5.182122744	1.008978834	1.043243924	1.026111379
Pbdc1	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	15.86692866	20.16497181	10.54034703	15.57177513	1.2708806	1.477349378	1.374114989
Ddx3x	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	136.2979556	166.9342488	108.8373484	165.1580266	1.224774415	1.517475655	1.371125035
Kdm6a	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	32.9606924	39.25842712	34.76778679	37.72049852	1.191068035	1.084926652	1.137997343
Utp14a	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	18.73868241	34.60158749	16.39840636	37.87700365	1.846532575	2.309797843	2.078165209
Eif2s3x	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	6.526697694	10.52496696	9.921399523	13.34423975	1.612602185	1.344995706	1.478798945
Kdm5c	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	23.71008377	30.97565104	23.06682281	29.73994265	1.30643364	1.289295144	1.297864392
Med14	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	35.00158909	50.9987275	30.67081925	48.70906879	1.457040347	1.588124151	1.522582249
Rbm10	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	13.18791921	13.80605437	13.63060174	15.37577345	1.046871318	1.128033357	1.087452338
Cdk16	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	25.77894502	27.15402767	24.43196122	26.77877399	1.053341308	1.09605503	1.074698169
Ocrl	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	14.76974656	19.40040303	14.11468764	19.64589969	1.313523083	1.391876334	1.352699709
Sash3	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	43.27300261	78.65403189	45.54045713	70.6932959	1.817623625	1.552318539	1.684971082
