""	"gene_name"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"seqnames"	"start"	"end"	"width"	"strand"	"source"	"type"	"score"	"phase"	"gene_id"	"transcript_id"	"exon_number"	"exon_id"
"1"	"Zc3h14"	22363.8903635324	0.262633491799144	0.189221205819495	1.38797071217102	0.165145963624453	0.480281984771578	"chr12"	98746968	98787774	40807	"+"	"refGene"	"transcript"	NA	NA	"Zc3h14"	"NM_001160107"	NA	NA
"2"	"Troap"	22.1224556311878	-0.987904360436743	0.758988693293909	-1.30160616247045	0.193051052121741	0.524367748243452	"chr15"	99074973	99083409	8437	"+"	"refGene"	"transcript"	NA	NA	"Troap"	"NM_001162506"	NA	NA
"3"	"Clca2"	5.12996386309383	0.846747288459913	1.49904816418006	0.564856626153211	0.572171287563398	0.877644155295505	"chr3"	145070263	145099106	28844	"-"	"refGene"	"transcript"	NA	NA	"Clca2"	"NM_178697"	NA	NA
"4"	"1810013L24Rik"	8045.81418920009	0.279266140083087	0.207604574229969	1.34518298124653	0.178566150769626	0.501866165967149	"chr16"	8830100	8858924	28825	"+"	"refGene"	"transcript"	NA	NA	"1810013L24Rik"	"NM_001081400"	NA	NA
"5"	"Srsf7"	30773.0689904623	-0.0528023400864314	0.185595402048773	-0.284502414949673	0.776025383607093	0.955389114663293	"chr17"	80200080	80207305	7226	"-"	"refGene"	"transcript"	NA	NA	"Srsf7"	"NM_001195486"	NA	NA
"6"	"Fignl2"	15.7388907877295	-1.27251923685726	0.872864310210977	-1.45786604168715	0.144877470383892	0.442631591933118	"chr15"	101050192	101054399	4208	"-"	"refGene"	"transcript"	NA	NA	"Fignl2"	"NM_001214911"	NA	NA
"7"	"Sema6a"	9.1569953340114	-5.23482455128226	1.75374306742781	-2.98494383157283	0.00283630399856712	0.0215334594339763	"chr18"	47245254	47368870	123617	"-"	"refGene"	"transcript"	NA	NA	"Sema6a"	"NM_001311097"	NA	NA
"8"	"Anapc15"	125.923769142557	-0.440971509557334	0.372581117710944	-1.18355839465662	0.236587918096694	0.589605123446586	"chr7"	101881325	101899545	18221	"+"	"refGene"	"transcript"	NA	NA	"Anapc15"	"NM_001291353"	NA	NA
"9"	"Misp3"	3.13631647757095	-2.44170001581947	2.0858864927313	-1.17058144071026	0.241767060935929	0.595192112540249	"chr8"	84010228	84011720	1493	"-"	"refGene"	"transcript"	NA	NA	"Misp3"	"NM_001291292"	NA	NA
"10"	"Nmb"	5.63199911228401	-0.310062883819451	1.39983848094845	-0.221499042953419	0.824703881707086	0.967034477361021	"chr7"	80902227	80905062	2836	"-"	"refGene"	"transcript"	NA	NA	"Nmb"	"NM_001291280"	NA	NA
"11"	"Tcerg1"	17877.4091533512	0.175368535933367	0.202054091363121	0.867928655887517	0.385433390437181	0.751284404311032	"chr18"	42511487	42575785	64299	"+"	"refGene"	"transcript"	NA	NA	"Tcerg1"	"NM_001289526"	NA	NA
"12"	"Zfp712"	359.382574136848	0.262941322402643	0.266428775287232	0.986910374523814	0.323686577847639	0.692472683344831	"chr13"	67038594	67061170	22577	"-"	"refGene"	"transcript"	NA	NA	"Zfp712"	"NM_001166218"	NA	NA
"13"	"Fam129c"	37.6566986878234	0.756771628447256	0.591576702116655	1.27924515238605	0.200810740203455	0.535507714422077	"chr8"	71597646	71608149	10504	"+"	"refGene"	"transcript"	NA	NA	"Fam129c"	"NM_001166213"	NA	NA
"14"	"Atp5g3"	8620.61408756942	0.484249246854572	0.174500153619365	2.77506487421702	0.00551906974118203	0.0374566408542636	"chr2"	73908447	73911326	2880	"-"	"refGene"	"transcript"	NA	NA	"Atp5g3"	"NM_001301721"	NA	NA
"15"	"Fyco1"	501.678549107606	-0.0174579373920035	0.226656406321576	-0.0770237986004003	0.93860461265878	0.988210342637679	"chr9"	123789500	123851661	62162	"-"	"refGene"	"transcript"	NA	NA	"Fyco1"	"NM_148925"	NA	NA
