gene_name	Chromosome	seqnames	Cell Type	LSK- WT rep1 (FPKM)	LSK- XistΔ/Δ rep1 (FPK	LSK- WT rep2 (FPKM)	LSK- XistΔ/Δ rep2 (FPK	FoldChange_1	FoldChange_2	FoldChange
5430427O19Rik	chrX	chrX	LSK-	6.10035478	12.42405896	7.928483475	11.59377845	2.036612527	1.462294584	1.749453556
Tmem164	chrX	chrX	LSK-	22.53531964	39.26867415	26.56466821	32.29501104	1.742539036	1.215712946	1.479125991
Tmem29	chrX	chrX	LSK-	5.114671455	8.798954542	8.037204446	8.672359595	1.720336217	1.079026875	1.399681546
1810030O07Rik	chrX	chrX	LSK-	33.21167337	68.35381324	41.07956276	65.8478983	2.058126144	1.602935715	1.830530929
Ftx	chrX	chrX	LSK-	2.595518092	3.177089945	1.402189169	3.935330724	1.224067733	2.806561919	2.015314826
Pbdc1	chrX	chrX	LSK-	26.65994144	40.15860148	26.91749584	42.91618533	1.506327445	1.594360248	1.550343846
Ddx3x	chrX	chrX	LSK-	38.80343348	49.13208998	38.16335001	59.79618294	1.266178933	1.566848375	1.416513654
Kdm6a	chrX	chrX	LSK-	12.9608857	13.99045801	12.12264318	14.94901946	1.079436879	1.233148517	1.156292698
Utp14a	chrX	chrX	LSK-	21.25284946	30.02407296	15.07397483	31.78112874	1.412708118	2.108344288	1.760526203
Eif2s3x	chrX	chrX	LSK-	1.986468273	2.140519619	2.432907882	2.459328791	1.077550368	1.010859806	1.044205087
Kdm5c	chrX	chrX	LSK-	14.50749251	21.19384634	9.525149952	16.74668821	1.460889697	1.758154811	1.609522254
Med14	chrX	chrX	LSK-	9.779131423	13.24315914	7.837511059	12.10382579	1.354226523	1.54434561	1.449286066
Rbm10	chrX	chrX	LSK-	14.12175414	15.48191952	8.514305109	13.43337776	1.096317027	1.577742116	1.337029571
Cdk16	chrX	chrX	LSK-	48.74189106	58.10259662	35.36003303	56.4590056	1.192046418	1.596689843	1.394368131
Ocrl	chrX	chrX	LSK-	9.524387061	11.46253469	7.691339396	11.27811308	1.203493161	1.466339281	1.334916221
Sash3	chrX	chrX	LSK-	69.70061142	117.8479984	88.72057672	96.1226758	1.690774241	1.083431593	1.387102917
Zdhhc9	chrX	chrX	LSK-	12.24068955	22.5181833	14.17347709	15.80475268	1.839617222	1.115093536	1.477355379
Aifm1	chrX	chrX	LSK-	53.01805069	71.25858239	58.80949951	76.87365032	1.344043802	1.307163825	1.325603813
Pcyt1b	chrX	chrX	LSK-	1.018523051	1.376022585	1.130241405	2.05658237	1.35099798	1.819595674	1.585296827
F630028O10Rik	chrX	chrX	LSK-	39.7099112	40.23479473	11.93976562	15.17661341	1.013217948	1.271098102	1.142158025
Nono	chrX	chrX	LSK-	64.58128336	70.17969227	66.69860991	73.16446816	1.086687793	1.096941424	1.091814609
Ercc6l	chrX	chrX	LSK-	11.83797987	16.43554302	13.40095032	13.47103174	1.388373962	1.005229586	1.196801774
Magt1	chrX	chrX	LSK-	41.90360057	48.22932439	37.54688941	39.26724845	1.150958957	1.04581895	1.098388953
Btk	chrX	chrX	LSK-	48.82503288	59.45209127	38.18987414	63.1135659	1.217655939	1.652625658	1.435140799
Acsl4	chrX	chrX	LSK-	7.127580394	9.713085922	7.802862047	9.185347538	1.362746596	1.177176718	1.269961657
Iqsec2	chrX	chrX	LSK-	0.772716038	1.329564296	0.518014183	1.246617315	1.720637636	2.406531243	2.06358444
Rps6ka3	chrX	chrX	LSK-	4.232565974	4.924421766	3.625124784	4.875834783	1.163460132	1.345011572	1.254235852
Ofd1	chrX	chrX	LSK-	4.581995466	4.950580684	3.754002345	5.150273718	1.080442074	1.371942062	1.226192068
Arhgap6	chrX	chrX	LSK-	2.532984285	3.473537966	3.261729172	4.48329584	1.371322352	1.374515051	1.372918701
Hccs	chrX	chrX	LSK-	29.97503394	32.7576447	34.01734133	35.22522369	1.092830946	1.035507841	1.064169394
Med12	chrX	chrX	LSK-	5.861660605	6.07139738	3.610497539	6.048119588	1.035781119	1.675148514	1.355464816
Gpkow	chrX	chrX	LSK-	15.42312146	17.04953175	13.82207761	15.60940907	1.105452732	1.129309899	1.117381315
Otud5	chrX	chrX	LSK-	42.96905048	45.75066664	33.5891696	43.4830304	1.064735341	1.294555088	1.179645215
Gata1	chrX	chrX	LSK-	46.80956504	49.23442299	113.7580077	154.8541508	1.051802616	1.361259343	1.20653098
Suv39h1	chrX	chrX	LSK-	59.78844447	65.47591202	57.26589213	61.55696625	1.095126535	1.074932459	1.085029497
Elf4	chrX	chrX	LSK-	12.32170068	13.52232086	9.18256741	9.630339418	1.097439486	1.048763269	1.073101378
Fmr1	chrX	chrX	LSK-	19.03800489	21.41723835	18.28196372	21.48183993	1.124972836	1.17502913	1.150000983
Haus7	chrX	chrX	LSK-	33.94858608	34.10335899	32.26538109	36.62701915	1.004559038	1.135180119	1.069869579
Hcfc1	chrX	chrX	LSK-	22.2779565	22.59433082	13.79183622	21.77949984	1.014201227	1.579158822	1.296680025
Pfkfb1	chrX	chrX	LSK-	1.922863721	2.66808483	1.142933281	1.803406363	1.387557943	1.577875448	1.482716696
Smc1a	chrX	chrX	LSK-	64.08388642	64.40688856	29.48501135	60.75522907	1.005040302	2.060546233	1.532793268
Sh3kbp1	chrX	chrX	LSK-	31.98903351	38.71384181	25.4629073	29.88966482	1.210222303	1.173851221	1.192036762
Phka2	chrX	chrX	LSK-	16.789914	18.65078829	11.70153054	12.99045402	1.110832866	1.110149991	1.110491428
Piga	chrX	chrX	LSK-	12.7957237	13.71315713	9.784985458	12.94904315	1.07169844	1.323358446	1.197528443
Gemin8	chrX	chrX	LSK-	3.841233523	4.464157992	5.269363708	5.961918978	1.162167821	1.131430531	1.146799176
Msl3	chrX	chrX	LSK-	25.1640993	28.17736293	28.36398465	30.18592522	1.119744545	1.064234296	1.09198942
Sat1	chrX	chrX	LSK-	42.72947875	44.25728075	20.71212844	23.45482967	1.035755222	1.132420057	1.08408764
2610002M06Rik	chrX	chrX	LSK-	5.574921547	5.713676312	6.771747933	7.433682241	1.024889097	1.097749402	1.06131925
Tfe3	chrX	chrX	LSK-	10.72029989	12.10676749	13.95973342	16.88315689	1.129331046	1.209418288	1.169374667
Mospd1	chrX	chrX	LSK-	9.058739584	11.83903085	11.34085491	12.25959306	1.306918114	1.081011366	1.19396474
Htatsf1	chrX	chrX	LSK-	32.86824066	34.48896682	31.5523103	38.73126673	1.049309794	1.22752554	1.138417667
Arhgap4	chrX	chrX	LSK-	33.06239182	36.43830894	15.7190881	19.99545001	1.102107468	1.272048982	1.187078225
Irak1	chrX	chrX	LSK-	80.52626722	87.24467884	66.77842779	70.72616887	1.083431306	1.059117011	1.071274159
Ubl4a	chrX	chrX	LSK-	25.59948072	28.64494181	20.29787138	26.98759571	1.118965737	1.32957763	1.224271683
Klhl15	chrX	chrX	LSK-	1.226128273	1.398080656	1.983413837	2.201923131	1.140240126	1.110168281	1.125204204
Las1l	chrX	chrX	LSK-	53.91033395	63.73898236	55.07359824	64.27653925	1.182314738	1.167102592	1.174708665
